geo_code,variable,value
G6W,median_income,76500.0
G6X,population,9307.0
G6X,average_age,45.1
G6X,median_income,68500.0
G6Y,population,7232.0
G6Y,average_age,39.7
G6Y,median_income,98000.0
G6Z,population,23582.0
G6Z,average_age,40.0
G6Z,median_income,104000.0
G7A,population,25429.0
G7A,average_age,39.9
G7A,median_income,104000.0
G7B,population,17614.0
G7B,average_age,45.5
G7B,median_income,70500.0
G7G,population,16414.0
G7G,average_age,43.2
G7G,median_income,76000.0
G7H,population,28684.0
G7H,average_age,48.1
G7H,median_income,60400.0
G7J,population,14443.0
G7J,average_age,44.2
G7J,median_income,65500.0
G7K,population,762.0
G7K,average_age,45.0
G7K,median_income,76000.0
G7N,population,6389.0
G7N,average_age,41.5
G7N,median_income,96000.0
G7P,population,7418.0
G7P,average_age,41.5
G7P,median_income,82000.0
G7S,population,19807.0
G7S,average_age,44.2
G7S,median_income,82000.0
G7T,population,1640.0
G7T,average_age,37.1
G7T,median_income,97000.0
G7X,population,25550.0
G7X,average_age,46.5
G7X,median_income,57600.0
G7Y,population,628.0
G7Y,average_age,45.4
G7Y,median_income,81000.0
G7Z,population,2638.0
G7Z,average_age,42.9
G7Z,median_income,90000.0
G8A,population,6033.0
G8A,average_age,45.8
G8A,median_income,68000.0
G8B,population,22060.0
G8B,average_age,46.7
G8B,median_income,62000.0
G8C,population,4412.0
G8C,average_age,42.1
G8C,median_income,93000.0
G8E,population,3837.0
G8E,average_age,43.2
G8E,median_income,77000.0
G8G,population,4121.0
G8G,average_age,46.2
G8G,median_income,69500.0
G8H,population,10040.0
G8H,average_age,47.8
G8H,median_income,62800.0
G8J,population,4259.0
G8J,average_age,44.1
G8J,median_income,69500.0
G8K,population,10089.0
G8K,average_age,45.6
G8K,median_income,67000.0
G8L,population,14282.0
G8L,average_age,46.9
G8L,median_income,62800.0
G8M,population,5173.0
G8M,average_age,44.0
G8M,median_income,71000.0
G8N,population,2511.0
G8N,average_age,44.5
G8N,median_income,69500.0
G8P,population,7310.0
G8P,average_age,40.5
G8P,median_income,85000.0
G8T,population,27831.0
G8T,average_age,48.1
G8T,median_income,52000.0
G8V,population,9956.0
G8V,average_age,41.8
G8V,median_income,89000.0
G8W,population,11010.0
G8W,average_age,45.1
G8W,median_income,77000.0
G8Y,population,33298.0
G8Y,average_age,46.0
G8Y,median_income,68000.0
G8Z,population,13972.0
G8Z,average_age,47.1
G8Z,median_income,47600.0
G9A,population,20399.0
G9A,average_age,47.6
G9A,median_income,42800.0
G9B,population,18680.0
G9B,average_age,42.7
G9B,median_income,87000.0
G9C,population,4017.0
G9C,average_age,39.6
G9C,median_income,97000.0
G9H,population,13559.0
G9H,average_age,43.4
G9H,median_income,75000.0
G9N,population,16125.0
G9N,average_age,50.2
G9N,median_income,44400.0
G9P,population,11567.0
G9P,average_age,48.5
G9P,median_income,61600.0
G9R,population,2324.0
G9R,average_age,42.0
G9R,median_income,83000.0
G9T,population,15940.0
G9T,average_age,50.0
G9T,median_income,54000.0
G9X,population,10610.0
G9X,average_age,47.5
G9X,median_income,60400.0
H1A,population,33158.0
H1A,average_age,44.0
H1A,median_income,73000.0
H1B,population,20651.0
H1B,average_age,42.6
H1B,median_income,65000.0
H1C,population,15085.0
H1C,average_age,37.8
H1C,median_income,107000.0
H1E,population,42568.0
H1E,average_age,43.6
H1E,median_income,76000.0
H1G,population,50989.0
H1G,average_age,41.4
H1G,median_income,57200.0
H1H,population,37847.0
H1H,average_age,40.7
H1H,median_income,55200.0
H1J,population,10587.0
H1J,average_age,44.1
H1J,median_income,68000.0
H1K,population,37304.0
H1K,average_age,39.6
H1K,median_income,76000.0
H1L,population,34612.0
H1L,average_age,42.0
H1L,median_income,61200.0
H1M,population,29352.0
H1M,average_age,46.8
H1M,median_income,65000.0
H1N,population,24444.0
H1N,average_age,43.5
H1N,median_income,58800.0
H1P,population,18118.0
H1P,average_age,42.0
H1P,median_income,67500.0
H1R,population,31259.0
H1R,average_age,41.1
H1R,median_income,70000.0
H1S,population,26715.0
H1S,average_age,43.8
H1S,median_income,62400.0
H1T,population,31318.0
H1T,average_age,43.0
H1T,median_income,58000.0
H1V,population,21908.0
H1V,average_age,39.8
H1V,median_income,59200.0
H1W,population,30004.0
H1W,average_age,38.1
H1W,median_income,56800.0
H1X,population,30178.0
